Integrated Labor Productivity* (2012=100),Production Account,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Farms,111CA,51.624,49.8,54.679,58.859,60.525,65.313,65.318,77.657,73.164,77.459,84.351,85,83.063,86.37,88.567,89.707,94.299,92.608,99.109,101.302,96.305,93.717,100.398,98.492,96.712,100,101.777,101.936,108.066,115.288,118.522,121.501,117.736,129.887
"Forestry, fishing, and related activities",113FF,161.939,151.273,144.696,145.348,147.581,158.012,142.801,150.909,124.861,120.693,114.771,123.585,129.086,110.9,127.222,136.047,138.895,147.653,145.637,118.645,100.805,100.316,109.045,102.023,107.19,100,98.137,106.227,94.678,93.632,103.443,98.217,91.691,105.719
Oil and gas extraction,211,69.464,71.066,66.173,66.473,69.962,72.245,76.296,80.889,88.754,95.097,100.088,100.988,108.765,123.274,132.189,132.337,132.587,113.894,114.969,105.49,102.22,96.956,106.765,117.312,106.904,100,110.625,122.099,124.993,138.971,191.82,220.206,218.379,235.042
"Mining, except oil and gas",212,60.749,67.779,68.072,69.612,77.138,79.882,82.294,88.786,85.527,89.217,93.076,99.012,100.541,106.987,107.223,112.356,114.188,112.798,113.088,113.282,107.891,104.692,105.485,104.395,103.625,100,100.409,102.384,108.202,108.021,105.354,103.368,101.686,102.102
Support activities for mining,213,40.465,45.32,43.181,42.589,42.774,42.913,51.401,47.861,41.403,40.533,46.056,48.723,47.921,54.9,68.415,67.536,76.082,91.419,106.037,119.499,110.133,114.268,96.723,95.321,89.618,100,91.799,100.565,99.526,71.513,89.853,88.1,88.569,72.299
Utilities,22,65.75,68.552,66.93,66.604,66.452,66.739,68.322,69.829,69.806,74.3,74.856,80.194,94.25,107.346,118.515,93.549,91.693,90.877,97.545,93.62,95.556,100.901,90.775,102.284,99.226,100,101.428,102.632,102.015,102.145,101.209,105.536,106.236,103.451
Construction,23,122.43,115.605,112.839,110.498,109.578,115.684,112.523,111.979,109.92,111.999,109.994,112.662,110.383,109.885,110.205,111.356,113.922,113.284,111.856,103.67,99.853,99.922,105.317,102.414,100.919,100,100.022,100.14,103.242,105.69,104.635,100.197,98.307,106.204
Wood products,321,68.286,67.247,66.917,68.45,68.865,70.355,67.643,66.958,68.27,69.199,69.672,71.331,72.125,73.648,74.816,81.68,83.033,83.627,88.577,91.407,91.544,89.491,89.715,93.557,95.322,100,98.475,97.259,102.317,102.672,102.897,100.543,93.778,99.212
Nonmetallic mineral products,327,77.307,75.252,74.798,76.077,75.416,78.309,78.638,78.452,80.153,83.436,85.532,89.423,89.948,89.711,87.201,91.958,97.947,96.378,101.408,100.337,102.215,96.331,89.457,95.63,97.826,100,103.724,103.481,103.623,103.88,99.769,97.718,95.386,100.14
Primary metals,331,49.842,52.741,53.036,52.913,53.92,56.226,58.414,59.641,60.309,62.566,64.011,67.462,68.129,65.186,66.664,76.464,78.97,87.385,86.675,85.492,92.193,96.905,89.25,103.716,101.962,100,105.317,103.379,100.003,100.353,100.743,99.577,97.148,107.036
Fabricated metal products,332,70.776,71.025,69.74,70.658,71.272,75.176,75.859,79.143,81.25,83.818,84.69,86.003,87.141,89.169,89.381,93.951,96.324,94.014,97.249,99.237,102.403,104.023,97.298,100.431,101.535,100,99.037,98.665,96.982,97.227,97.426,98.19,97.262,98.641
Machinery,333,52.012,53.088,55.408,55.145,54.459,55.042,56.516,59.311,61.871,63.023,64.27,65.943,66.892,72.056,70.025,73.564,79.106,79.594,85.478,87.447,90.165,88.54,84.457,92.065,96.731,100,97.226,95.639,90.294,86.532,87.051,88.934,87.198,90.834
Computer and electronic products,334,7.814,8.336,8.589,9.484,10.421,11.926,13.095,15.251,18.892,22.103,25.495,30.128,37.312,46.645,47.657,49.614,58.46,65.473,70.244,77.433,88.845,90.42,87.217,95.897,99.418,100,103.179,104.244,105.211,107.337,110.15,115.564,113.775,119.398
"Electrical equipment, appliances, and components",335,52.213,52.475,54.057,55.345,55.338,60.368,63.562,66.456,69.737,72.057,75.639,78.932,80.965,86.812,83.91,86.124,88.806,93.372,98.323,97.79,101.834,98.621,93.359,96.659,101.599,100,99.38,101.777,98.754,96.118,92.651,91.746,94.612,96.715
"Motor vehicles, bodies and trailers, and parts",3361MV,46.451,47.057,48.335,46.95,45.531,49.483,50.86,52.547,52.441,52.898,56.882,60.479,63.973,61.78,66.068,71.629,76.72,79.483,84.238,86.36,89.538,83.401,89.062,102.191,108.674,100,104.708,109.012,109.106,106.468,107.733,104.229,105.342,110.036
Other transportation equipment,3364OT,50.871,51.052,50.267,54.488,56.876,60.864,61.166,58.858,58.187,60.94,62.696,72.008,73.674,68.125,76.082,78.751,80.114,79.195,84.686,80.86,95.731,94.635,91.743,96.008,94.516,100,103.772,108.505,110.329,103.175,108.443,104.35,100.918,79.61
Furniture and related products,337,64.209,62.105,62.481,63.634,63.225,65.747,65.495,65.997,68.115,70.202,74.406,76.092,75.066,78.972,79.4,84.724,87.407,89.19,93.86,96.943,99.13,97.092,89.598,93.832,89.52,100,98.033,94.112,99.73,99.109,95.735,96.073,92.259,91.368
Miscellaneous manufacturing,339,51.298,51.635,51.4,53.15,54.072,54.896,56.734,58.426,62.093,65.236,67.839,71.547,71.009,80.455,75.208,83.65,88.835,87.622,97.015,98.61,99.765,104.12,106.477,108.98,106.456,100,104.82,99.966,98.19,91.313,92.642,95.959,93.904,111.132
