Integrated Labor Productivity* (2012=100),Production Account,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Food and beverage and tobacco products,311FT,78.646,79.541,80.54,79.84,81.968,84.665,84.846,85.753,88.134,87.22,90.088,92.925,90.976,93.07,94.056,94.847,97.547,98.6,104.707,102.552,101.428,101.201,105.752,104.307,101.798,100,100.774,100.49,100.739,99.295,94.468,92.357,93.362,92.935
Textile mills and textile product mills,313TT,59.708,60.434,61.622,61.405,62.57,65.372,67.395,70.123,71.532,73.749,76.325,78.58,82.666,85.078,86.796,92.999,99.709,107.52,115.015,109.809,107.286,101.568,97.661,103.784,104.202,100,107.772,111.022,105.106,104.935,100.717,98.697,100.051,102.694
Apparel and leather and allied products,315AL,87.491,88.929,85.036,88.445,90.36,94.6,99.554,106.87,114.685,126.263,139.462,138.31,150.197,166.59,147.848,146.616,147.307,144.709,156.794,157.067,121.229,120.718,126.08,123.761,135.856,100,102.46,100.689,96.51,109.053,109.161,110.652,112.958,134.822
Paper products,322,61.327,62.343,62.386,62.046,63.679,64.121,64.381,66.188,67.388,67.384,68.639,70.335,71.962,74.431,77.092,83.46,86.252,88.827,89.02,89.406,92.384,91.247,91.535,92.871,94.727,100,99.709,98.413,98.86,98.162,99.369,96.955,99.145,103.449
Printing and related support activities,323,71.955,69.627,69.383,69.891,69.505,72.425,70.1,68.16,69.275,71.417,72.52,74.67,76.893,80.321,83.739,90.044,88.206,90.471,91.878,91.223,94.3,95.837,91.398,95.18,99.558,100,101.171,98.76,98.527,104.81,101.912,105.352,101.136,109.808
Petroleum and coal products,324,59.44,61.696,63.402,62.478,63.118,62.938,63.659,65.441,70.389,71.904,77.346,78.15,85.268,91.012,92.395,98.849,93.586,103.465,107.565,103.979,109.552,100.775,107.577,106.486,109.665,100,106.525,103.583,105.988,114.117,114.562,111.045,106.929,115.452
Chemical products,325,59.794,59.732,60.525,60.598,61.437,62.319,63.335,67.075,67.327,68.797,73.353,74.491,76.915,78.857,79.807,85.772,87.525,92.175,96.843,97.794,107.661,100.02,94.028,100.099,98.821,100,102.685,100.32,99.763,102.19,96.653,91.426,88.421,93.222
Plastics and rubber products,326,58.87,59.663,60.022,61.628,62.365,63.674,64.341,65.856,66.815,69.334,72.658,75.825,79.372,82.64,84.145,90.797,93.758,95.787,98.225,98.192,97.507,92.011,92.995,97.593,96.643,100,99.379,97.46,97.646,96.57,94.44,96.472,95.257,99.869
Wholesale trade,42,41.043,41.463,42.173,44.197,45.925,47.814,51.934,52.612,52.698,56.428,59.513,60.231,64.383,65.579,65.576,70.378,73.918,78.076,80.313,81.32,83.137,84.358,76.317,89.767,95.792,100,101.341,104.208,104.321,103.517,107.065,110.849,109.775,114.297
Retail trade,44RT,56.577,58.477,57.959,59.826,60.257,62.746,64.366,66.94,68.821,71.941,73.439,77.174,79.503,81.824,81.47,86.688,91.434,96.18,96.518,98.834,98.628,94.467,93.762,99.601,98.542,100,104.843,106.485,109.976,114.55,116.787,121.605,126.128,132.331
Air transportation,481,63.838,67.699,63.422,59.637,60.479,62.956,59.337,63.572,68.355,70.364,70.446,68.768,71.982,68.443,55.763,56.27,64.482,71.196,73.976,83.475,88.693,95.455,91.773,89.301,99.178,100,107.053,107.218,105.632,104.06,109.587,117.002,119.406,77.502
Rail transportation,482,35.574,40.352,42.663,44.686,48.783,52.74,53.277,55.971,57.474,58.583,58.772,59.812,61.493,62.685,69.793,75.841,76.03,77.727,80.171,85.463,86.024,88.845,81.012,104.832,102.993,100,101.6,106.239,99.704,103.737,107.091,108.461,107.516,105.576
Water transportation,483,93.411,95.209,93.381,90.861,91.328,92.086,106.635,103.714,111.753,116.878,121.062,116.295,105.643,95.019,97.003,89.008,87.172,98.49,88.502,95.454,106.193,96.859,84.609,91.097,101.159,100,101.599,101.918,99.402,99.642,105.065,119.741,122.395,95.427
Truck transportation,484,61.041,69.661,72.519,77.891,81.075,85.305,84.601,85.844,83.542,82.466,86.761,87.201,86.618,89.894,91.237,91.713,93.996,92.614,94.395,95.801,96.876,96.056,91.625,100.662,100.976,100,100.073,102.596,102.383,103.732,108.688,109.124,106.204,103.951
Transit and ground passenger transportation,485,112.478,105.557,107.585,109.938,106.909,102.689,98.043,94.9,99.372,96.12,91.288,99.064,95.17,97.307,96.197,94.564,90.846,103.656,109.057,111.933,114.38,109.013,106.764,95.685,92.852,100,108.614,114.96,109.458,102.021,110.439,122.519,126.159,123.639
Pipeline transportation,486,71.32,73.414,72.852,70.9,70.115,73.699,78.321,79.226,82.996,87.071,90.919,95.624,97.849,96.319,95.458,93.473,88.479,91.654,87.892,89.343,85.631,92.115,82.455,90.154,96.689,100,97.705,96.469,95.095,96.754,100.85,107.379,102.734,97.403
Other transportation and support activities,487OS,95.403,100.72,97.112,93.559,98.118,100.619,97.008,86.835,79.439,78.541,79.818,88.318,93.294,99.336,99.865,108.578,113.082,114.637,115.585,120.466,119.115,115.281,110.625,107.729,103.358,100,93.463,94.255,93.538,94.632,92.283,90.132,81.455,76.412
Warehousing and storage,493,28.036,31.032,30.843,31.286,33.135,35.272,37.531,38.506,39.651,40.657,44.358,45.547,45.817,47.631,50.897,53.436,58.58,61.623,62.743,65.877,67.19,69.357,75.295,85.193,91.518,100,96.814,96.797,89.827,82.452,81.273,74.442,73.926,66.348
"Publishing industries, except internet (includes software)",511,37.463,39.051,40.363,39.415,41.404,43.479,44.716,46.941,49.263,54.304,57.968,61.937,62.904,66.018,67.247,72.078,76.654,83.069,85.302,89.966,91.829,93.854,94.962,101.006,101.349,100,104.964,110.251,107.108,118.443,129.77,133.721,136.227,142.258
Motion picture and sound recording industries,512,67.962,69.777,67.313,63.232,64.657,64.867,67.856,67.649,65.703,66.477,66.225,67.624,67.876,73.36,77.851,76.973,82.479,81.544,88.274,92.032,93.11,90.877,91.018,94.453,100.512,100,105.964,101.605,101.233,100.905,92.348,92.588,98.976,119.387
Broadcasting and telecommunications,513,26.047,27.021,27.88,28.307,29.336,31.381,32.305,33.618,35.317,37.149,38.435,40.01,42.571,44.885,47.532,53.52,56.001,59.195,64.922,68.895,72.94,77.424,80.907,88.692,93.969,100,103.501,110.367,120.732,128.582,133.075,143.232,152.262,156.78
"Data processing, internet publishing, and other information services",514,23.693,23.738,24.695,26.591,26.938,27.092,27.811,29.772,29.292,29.863,27.587,26.778,28.75,28.788,30.676,37.019,41.319,45.746,50.22,56.031,60.116,66.199,72.218,82.147,92.077,100,100.36,99.701,103.226,111.538,119.664,131.621,134.507,144.719
"Federal Reserve banks, credit intermediation, and related activities",521CI,57.524,59.638,58.84,59.537,60.885,60.545,62.827,64.223,66.173,68.879,68.842,71.989,80.529,88.491,84.802,87.182,83.224,82.394,82.08,81.357,81.634,85.596,105.041,97.681,96.263,100,98.974,98.701,96.227,93.041,92.138,90.675,90.215,89.394
"Securities, commodity contracts, and investments",523,24.205,21.862,24.908,23.354,27.9,28.304,34.147,35.412,42.416,53.229,59.533,65.789,75.325,88.448,79.926,78.425,84.993,91.297,94.45,102.814,103.522,93.945,105.858,106.388,98.294,100,103.459,102.313,97.87,96.626,97.374,94.619,99.214,101.821
Insurance carriers and related activities,524,61.702,63.721,64.405,62.94,63.043,63.66,62.68,63.681,61.993,60.302,59.001,60.335,61.819,66.444,66.946,68.777,72.479,77.792,83.571,85.383,92.884,95.681,86.446,87.407,93.942,100,105.683,111.922,113.979,115.128,121.751,127.006,128.82,128.354
"Funds, trusts, and other financial vehicles",525,105.765,83.122,90.906,80.998,75.241,66.493,76.621,68.216,75.436,78.415,79.445,78.681,79.686,85.972,79.973,66.7,68.61,83.72,88.703,94.739,97.613,90.736,94.959,99.744,114.571,100,111.297,68.358,59.349,36.81,30.38,24.307,19.235,20.029
Real estate,531,56.881,58.882,59.782,61.993,63.202,68.397,67.93,71.068,71.383,72.706,72.409,75.511,75.213,79.229,80.687,82.593,81.088,85.044,89.906,88.369,90.268,93.083,94.702,101.318,100.975,100,100.024,101.895,101.21,101.385,97.504,94.206,95.621,95.907
Rental and leasing services and lessors of intangible assets,532RL,46.506,51.733,49.865,51.143,49.622,50.842,52.266,54.84,53.892,55.931,56.256,64.042,66.896,71.688,70.129,67.659,74.735,74.794,74.884,75.153,80.409,87.612,83.64,91.202,99.548,100,98.78,100.529,94.735,97.563,96.809,103.056,101.285,112.537
Legal services,5411,91.422,95.418,95.748,98.145,93.882,97.748,96.72,95.683,93.344,100.611,97.891,97.519,102.298,99.251,98.427,101.14,103.664,103.843,102.461,102.707,105.3,100.425,101.24,101.681,97.517,100,96.489,97.214,99.907,96.735,100.261,95.24,98.213,94.984
Computer systems design and related services,5415,44.054,46.092,48.662,47.353,49.113,42.304,51.211,53.392,52.447,51.479,63.896,66.831,70.066,69.788,66.056,72.221,75.594,77.128,79.323,78.334,80.969,83.434,84.745,93.388,96.998,100,96.435,97.609,93.545,96.287,102.557,108.246,106.816,107.386
"Miscellaneous professional, scientific, and technical services",5412OP,72.386,74.651,76.895,77.803,78.359,80.672,81.037,84.431,83.97,88.131,89.197,88.772,90.797,90.079,90.62,93.656,95.341,95.586,96.25,95.216,95.925,98.994,98.109,100.177,99.759,100,99.295,101.703,101.048,102.722,105.533,106.993,109.481,108.454
Management of companies and enterprises,55,78.037,77.806,82.406,85.516,85.157,82.454,81.835,86.003,84.484,84.937,89.638,92.913,96.046,91.467,95.92,100.517,104.47,102.445,108.078,105.617,107.703,99.949,91.148,94.249,96.519,100,98.988,103.014,104.808,101.925,106.968,112.212,118.833,116.848
Administrative and support services,561,70.278,72.26,74.36,75.818,76.667,75.511,73.713,74.437,75.024,76.043,77.36,79.696,80.717,79.446,80.464,79.984,83.941,85.041,88.515,87.88,90.947,94.489,97.364,98.467,99.592,100,99.531,103.872,106.65,110.234,113.677,120.514,125.215,129.681
Waste management and remediation services,562,106.052,112.307,109.739,109.264,106.432,108.439,107.654,110.432,106.086,105.095,105.332,111.371,114.297,112.372,105.643,97.835,102.017,106.905,106.989,114.692,110.749,107.518,104.757,109.229,101.14,100,96.213,96.221,96.696,95.768,99.536,98.09,93.821,91.376
Educational services,61,80.024,81.858,80.875,82.283,83.065,86.245,85.459,82.992,82.792,86.062,84.933,85.732,85.837,89.804,91.144,91.127,94.06,93.215,91.969,95.302,100.084,101.145,104.371,107.105,105.636,100,98.702,98.4,98.568,97.345,96.57,95.313,94.485,91.2
Ambulatory health care services,621,99.676,104.032,99.153,98.522,97.235,97.065,92.231,91.764,91.548,93.083,92.918,95.039,97.042,101.649,104.409,104.815,104.219,106.839,107.271,105.515,104.737,106.189,104.519,102.186,101.882,100,97.595,99.069,101.245,103.192,104.474,105.505,107.375,102.685
Hospitals and nursing and residential care facilities,622HO,74.496,77.379,76.286,75.517,75.67,76.232,73.967,74.28,75.022,77.265,78.461,79.628,80.874,83.323,84.018,86.946,87.02,87.406,89.57,90.921,90.849,92.412,96.315,98.075,98.484,100,100.482,101.725,104.186,104.807,105.012,104.777,105.956,104.186
Social assistance,624,96.382,104.929,103.985,103.018,93.339,81.587,82.304,76.047,73.308,74.344,78.701,78.253,81.053,87.075,93.382,93.735,95.881,92.909,92.629,91.324,92.464,95.723,99.463,103.008,102.526,100,98.334,98.733,96.103,95.762,97.421,96.954,95.911,95.551
"Performing arts, spectator sports, museums, and related activities",711AS,53.402,53.659,48.175,53.073,53.012,54.611,58.697,63.717,67.887,68.624,64.872,71.677,69.774,73.788,84.851,86.786,86.131,83.972,82.515,86.787,91.809,91.488,96.524,95.395,96.458,100,97.766,97.543,98.095,97.133,103.37,102.377,109.03,88.635
"Amusements, gambling, and recreation industries",713,74.379,79.259,78.414,80.42,78.26,83.573,79.833,80.157,82.361,84.543,85.603,83.496,82.564,81.939,84.496,81.359,82.748,86.697,88.107,96.444,102.491,101.848,101.8,103.192,103.325,100,98.047,96.384,98.592,98.272,101.626,105.493,105.699,102.729
Accommodation,721,63.113,62.756,60.623,60.168,60.948,66.557,67.508,70.808,73.03,75.099,75.808,76.523,77.249,82.084,83.922,87.882,88.507,93.508,92.827,91.906,88.799,88.507,88.904,91.061,96.548,100,102.18,104.41,106.344,107.642,106.249,105.55,104.468,95.141
Food services and drinking places,722,81.322,85.823,84.841,88.932,89.36,89.873,90.747,90.231,90.315,90.672,91.391,93.798,92.958,97.439,101.975,102.595,103.469,103.184,103.243,103.671,102.405,99.977,99.706,101.57,102.346,100,98.495,99.154,101.113,101.324,102.141,103.36,105.107,104.342
"Other services, except government",81,77.941,81.09,83.111,84.003,83.712,90.214,87.481,91.252,92.781,95.112,95.255,96.366,99.195,100.539,102.599,99.678,100.149,102.091,101.236,101.481,100.579,101.009,96.871,98.445,97.153,100,97.638,99.513,100.751,103.287,104.065,104.95,105.206,103.87
Federal,GF,66.384,65.663,67.211,68.038,69.204,69.844,70.505,72.068,72.186,73.978,75.085,75.525,77.387,75.876,80.817,83.652,86.807,90.287,92.481,94.019,96.103,98.746,99.879,99.248,99.496,100,98.89,97.524,97.3,96.085,95.068,97.694,98.41,98.555
State and local,GSL,72.5,72.707,73.671,74.155,75.213,77.638,79.121,81.086,82.159,83.105,84.296,86.445,88.74,89.02,90.9,92.181,92.442,93.35,93.891,95.331,96.413,95.477,98.392,98.078,98.569,100,100.926,100.837,104.328,106.171,105.821,106.031,106.362,108.824
